=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -96.41 -97.22 === === === === === === === === === === === === === === === === -175.15 -179.83 -182.88 -184.89 === === === === === === === === === === === -238.98 -242.82 === === === === === === === === === === === === === === === -317.07 === -326.28 === -331.71 === === -347.59 -350.05 === === -365.33 -369.25 === -379.49 -380.79 === === === === -403.99 === === === -423.20 === === === === === === -453.24 === === === === === === === === === === === === === === -520.31 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.42 -96.07 === === === === === === === === === === === === === -159.16 === === === === -183.30 -187.56 -191.13 -193.55 === === === === === === === === === -242.17 -242.69 -250.14 === === === -267.76 === === === === === === === === === === === === === -328.84 -334.25 === === === -349.12 === === === -367.23 === -376.53 === -386.24 -392.86 === -399.17 === === === === === === === === === === === -454.65 === === === -472.38 === === -484.70 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.45 -95.72 === === === === === === === === === === === === === === === === === === === -185.60 -190.79 -194.55 === === === === === === === === === === === -250.68 -254.20 === === === === === === === === === -298.12 === === === === === === === === === === -347.09 === -355.75 === === -369.24 -373.93 -377.48 -380.41 -385.34 === === -402.00 === === === === === === -430.95 === === === === === === === === === === === -485.01 === === === === === === -517.01 -519.85 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.50 -95.62 === === === === === === === === === === === === === === === === === === === === -193.00 -196.75 -199.13 -204.96 === === === === === === === === === === -253.92 -258.02 === === === === === === === === === === === === === === === -328.68 === === === -347.44 -351.64 === === -363.43 === === === -382.06 -388.14 -390.00 === -398.15 -405.90 === === === === === === === -438.00 === === === === === === -469.99 === -481.99 === === === === === === === === -517.99 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.52 -95.64 === === === === === === === === === === === === === === === === === === === === === === -200.87 -204.14 -208.02 === === === === === === === === === === -259.35 -263.62 === === === === === === === === -303.72 === === === === === === === === === === === === === -362.95 -368.86 === -376.45 -382.75 -387.27 -391.73 -393.69 === === === === === === === === === -439.72 === === === === === === === === === === === === === === === === === -517.91 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.44 -101.30 === === === === === === === === === === === === === === === === === === === === === === -206.07 -210.04 -215.39 -217.47 === === === === === === === === === === -268.28 -270.34 === === === === === === === -308.09 === -314.82 === === === === === === === === === === === -368.16 -375.35 === -381.87 === -393.28 -395.37 -398.08 === -408.15 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.37 -100.93 === === === === === === === === === === === === === === === === === === === === === === === -210.51 -214.15 -216.18 -220.96 === === === === === === === === === === === -275.54 === === === === === === === === -316.99 === === === === === === === === === -360.94 === -369.99 -374.10 -378.34 -381.67 === -390.92 -397.13 === === -410.12 -415.46 -419.65 === === === === === === === === === === === === === === === === === === === === === === -520.13 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.25 -102.15 === === === === === === === === === === === === === === === === === === === === === === === === === -219.59 -222.02 -226.60 === === === === === === === === === === -278.06 -282.36 -284.57 -288.85 === -296.71 -300.98 -306.30 -310.69 -314.82 === === === === === === === === -355.71 === === === === -379.95 -381.48 -388.37 -391.39 === === -403.75 === === === === === === === -438.66 === === === === -460.51 === === === === -486.95 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -100.97 -102.56 === === === === === === === === === === === === === === === === === === === === === === === === === === -224.55 -225.50 -230.28 === === === === === === === === === === === -286.44 -287.93 === -299.25 -302.20 === === === === === === === === -341.66 === === === === -366.63 === === -380.43 -384.57 === === -397.52 -401.54 -403.84 -408.90 -411.85 -418.56 === === === === -442.12 === === === -460.59 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -100.84 -103.83 === === === === === === === === === === === === === === === === === === === === === === === === === === === -228.01 -231.21 -236.38 -240.09 === === === === === === === === === === -290.91 -294.29 === === === === === === === === === === -342.63 === === === === === -371.00 -374.98 === === === === -395.93 === -403.72 === -412.17 === === === -431.69 === === === === === === === === === === === === === === === === === === === -520.86 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -101.98 -104.80 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -234.38 -235.54 -241.50 === === === === === === === === === === === -296.25 -299.63 === === === === === === === === === -344.68 === === -358.22 === === === -376.22 === === === === === -401.61 === === === === -423.89 === -433.00 === === === === === === === === === === === === === === === === === === === -519.73 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -104.67 -106.27 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -244.25 -249.05 -253.31 === === === === === === === === === -297.87 -301.78 -304.22 === === === === === === === === === === === === -360.43 -365.76 === === -377.69 === -389.62 === -396.32 -400.18 -404.45 === -414.25 -421.15 -421.69 -429.19 -434.33 === === === === === === === === === === === === === === === === === === === -521.47 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -106.49 -108.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -248.22 -252.52 -255.17 === === === === === === === === === -302.54 -302.57 === === === === === === === === -343.88 -350.18 === === === === === === === === === === === === === -412.87 === === === === -431.42 -436.30 -441.33 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -107.63 -112.02 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -254.47 -257.98 -260.04 === === === === === === === === -302.05 -303.40 === === === === === === === === === === === === === === === === -380.23 === === === === === === -409.76 === === === === === -437.60 === === -449.24 === -458.90 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -108.86 -111.05 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -261.04 -268.67 -270.04 === === === === === -299.26 -301.84 -303.89 === === === === === === === === === === === === === === === === === === === === -398.04 === === === === === -425.38 === === -437.59 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -114.59 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -272.09 -275.80 === === === -293.02 -299.82 -300.24 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -453.53 === === === === === === === === === === === === === === -519.76 -522.87 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -115.87 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -277.09 -281.83 -287.09 -288.89 -294.04 -297.58 -300.86 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -437.64 === === === -455.73 === === === === === === === === === === === === === -520.68 -523.22 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -121.18 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -287.82 -290.36 -293.71 === === === === === === === === === === === === === === === === === === === === -389.18 === === === === === === === === === === === === === === === -456.49 === === === === === === === === === === === === === -521.17 -522.99 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -120.27 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -447.10 === === === -462.89 === === === === === === === === === === === === -521.38 -522.19 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -123.69 -127.15 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -418.09 === === === === === === === === === === === === === -482.68 === === === === === === === === === -525.29 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -128.98 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -348.69 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -523.85 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -131.25 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -328.63 === -336.65 === === -351.72 === === === === === -376.52 === === -391.03 === === === === === === === === === === === === === === === === === -469.19 === === === === === === === === === === === -523.11 -525.57 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -130.66 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -255.17 === === === === === === === === === === === === === === === === === === === === === === -350.56 === === === === === === -384.68 === === -397.98 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -523.96 -525.64 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -135.95 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -347.87 === === === === === -373.21 === === === === -395.75 -403.19 -404.35 -410.95 === === === === -431.91 === === === === === === === === === === === === === === === === === === === === -524.55 -525.93 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -139.33 -140.88 === === -151.54 === === === -165.73 === === === === === -190.74 -193.33 -199.34 -200.41 -204.41 -207.50 -211.25 -218.13 === -225.30 -227.39 -233.82 -236.17 -240.90 -244.91 -249.01 -254.38 -257.23 -261.61 -266.42 -271.45 -272.28 -276.71 -282.06 -286.02 -292.12 -294.48 -300.07 -305.84 -308.51 -313.61 -315.22 -322.71 -323.42 === -333.82 -336.43 -342.60 -344.71 -349.74 === -357.26 === === === === === -383.65 -391.53 -391.89 -397.81 -404.23 -404.52 -410.62 -414.68 === === === === === === === === === === === === === === === === === === === === === === === === -525.30 -528.58 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -142.02 -142.77 -147.64 -150.45 -155.02 -157.79 -161.26 -163.61 -167.81 -172.79 -176.06 -178.53 -183.46 -187.87 -190.12 -194.29 -197.15 -202.62 -207.27 -211.12 -214.49 -218.20 -221.74 -225.48 -229.26 -235.61 -237.19 -242.69 -247.33 -250.61 -253.53 -258.48 -263.15 -266.19 -272.13 -273.92 -281.19 -282.97 -287.39 -290.02 -296.86 -300.42 -302.87 -308.95 -314.02 -316.63 -320.96 -326.90 -329.16 -333.58 -337.84 -342.86 -345.91 -350.57 -356.58 -360.50 -366.35 -368.10 -374.76 -378.31 -380.74 -386.52 -390.09 -395.95 -397.55 -403.44 -407.31 -413.34 -414.79 === === === === === === === === === === === === === === === === === === === === === === === === === -528.16 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -410.15 -413.01 -417.39 -420.35 === === === === === === === === === === === === === === === === === === === === === === === === -530.03 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -418.53 -422.73 === === === === === === === === === === === === === === === === === === === === === === === === -531.11 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.85 -422.29 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.14 -424.94 === === === === === === === === === === === === === === === === === === === === === === === === -531.37 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.87 -423.40 === === === === === === === === === -468.73 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.62 -425.94 === === === === === === === === === === === === === === === === === === === === === === === -529.29 -533.25 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -303.01 -303.91 -311.05 -314.74 -317.50 === -327.28 -328.96 -333.31 -339.08 === === === -354.80 -358.83 === === === === === === === === === -399.17 === === === === === -425.97 === === === === === === === === === === === === === === -489.13 === === === === === === === === === -532.71 -536.13 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -303.31 -305.68 -308.63 -312.19 -318.23 -321.21 -325.89 -331.47 -335.67 -340.38 -341.40 -346.31 -351.74 -353.75 -359.17 === === -369.82 -375.83 -380.26 -383.91 -387.01 === === -400.82 -402.40 === -411.30 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -537.36 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -308.04 -309.58 === === === === === === === === === === -358.06 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -538.78 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -313.41 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -538.19 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -318.86 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -534.59 -539.75 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -319.32 -319.80 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -533.82 -536.12 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -323.97 -327.31 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -526.79 -528.84 -534.21 -536.89 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -329.04 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -526.01 -529.72 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -333.87 -334.94 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -525.03 -526.41 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -340.20 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -523.21 -523.78 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -339.68 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -467.47 === === === === === === === === === === === -518.91 -521.57 === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -347.63 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -510.19 -517.98 -518.62 === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -356.42 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -509.73 -511.68 -516.60 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -356.05 -361.40 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -507.36 -509.66 === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -362.31 -365.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -366.01 -367.76 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -499.10 -502.47 -503.97 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -370.48 -373.51 === === === === === === === === === === === === === === === === -436.91 === === === === === === === === === === === === === -497.61 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -372.01 -376.53 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -497.42 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -380.23 -380.99 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -493.57 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -382.46 -382.97 -387.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === -494.76 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -389.27 -390.10 === === === === === === === === === === === === === === === === === === === === === === === === -488.07 -490.74 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -392.84 -396.36 === === === === === === === === === === === === === === === === === === === === === === -486.32 === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -394.91 -399.82 === === === === === === === === === === === === === === === === === === === === === === -485.60 === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -399.47 -403.41 -406.46 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -403.81 -407.67 === === === === === === === === === === === === === === === === === -478.39 -479.31 -482.75 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -408.73 -412.34 === === === === === === === === === === === === === === === === -476.56 === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -414.61 -415.98 === === === === === === === === === === === === === === -474.67 -475.68 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.80 -421.22 -422.38 === === === === === === === === === === === === === -474.68 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.80 -426.65 -429.86 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -427.35 -431.35 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -431.23 -435.10 -436.83 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -438.64 -438.47 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -442.77 -447.24 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
