=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -240.03 === === === === === === === -278.48 === === === === === === === === === -327.85 === === === === === === === -362.85 === -375.71 -379.55 -383.51 -389.66 -394.34 -397.00 -401.15 -407.36 -414.40 -415.78 -422.93 -427.14 === -435.30 === === -453.63 -454.14 === === -471.26 -476.28 -479.06 -484.70 -491.78 === === === === === -520.55 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -250.21 === === === === === === === === === -298.12 -303.96 -306.10 === === === === === -334.56 -339.43 === === -354.51 -360.06 -366.42 -367.50 -375.61 -377.94 -383.16 -387.36 -394.41 === -401.75 === -411.92 -418.33 === === === === -439.51 -444.75 === === === === === -473.85 -477.66 -484.62 -490.73 === -499.17 === -506.70 === -518.25 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -254.27 -258.02 === === === === === -286.02 === === === === === -318.67 === === === -338.06 -342.05 === -350.47 -354.04 -359.14 -363.10 -367.77 === -381.08 === -390.00 -393.62 -397.16 -405.28 -405.87 === === === -425.97 -429.97 -438.00 === -445.99 === -453.99 -458.63 === -469.99 -473.99 -477.99 === === === -501.24 -503.09 === === -519.89 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -256.77 === -263.64 === === === === === === === -301.44 === -310.96 -315.23 === === -332.19 === === === === === === === === -375.41 -379.98 -384.57 -387.27 -396.01 -398.61 -404.51 === === -417.93 -421.75 -429.56 -433.82 -437.47 === === -450.02 -453.95 -462.56 -465.94 -469.94 -473.93 -480.77 === === === === === === -513.89 -518.80 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -267.88 === === === === === -299.90 === === === === === === -332.04 === === === === === -358.14 === -368.16 === -380.39 -384.61 -387.28 -392.57 -398.08 -404.02 -409.54 -411.80 -415.37 -421.04 -425.18 === === === === === === === -466.17 -468.31 -473.77 -481.96 === === -494.82 === === -507.01 === -518.38 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -217.89 === === === === === === === === === === === -272.67 -276.67 === === === === -301.10 === === === -320.56 -325.84 === -334.47 === === === === -358.35 === -369.37 -372.60 -379.75 -385.45 === === -400.89 -405.58 === -414.57 -415.46 -421.89 -425.43 -431.33 -435.12 === === -450.23 === -462.96 -466.89 -472.42 === === -486.41 -487.57 === -500.49 -505.06 -507.36 -514.72 -519.75 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -100.50 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -281.29 -282.36 === === === === === === === === === -332.84 -337.50 === -347.92 -352.15 -357.15 -358.57 === === -373.15 -380.71 -382.60 -388.55 -395.65 -400.92 -405.68 -409.14 -411.34 === === -429.26 -434.39 -438.51 -441.26 -448.73 -453.26 -458.71 === -466.47 === === === === -490.02 === -498.79 -502.79 -508.23 -514.24 -519.15 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -101.44 === === === === === === === === === === === === === === === === === === === === === === === === === -227.58 === === === === === === === === === === === === -288.80 === === === === === === === === === === -340.94 -348.59 -352.74 === -362.49 -366.34 -370.58 -376.31 -381.69 -382.57 -391.79 -394.82 -397.52 -404.03 -406.50 === === === -429.86 -432.13 -436.89 -439.94 -448.64 -453.51 -455.72 === -467.80 -469.26 -476.00 === -487.48 -490.20 -496.21 -500.39 === -508.36 === -519.10 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -102.84 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -336.24 === === -353.57 === === === -371.03 -376.16 === -384.20 -390.27 -392.22 -400.28 -404.77 -409.54 -416.01 -416.84 -424.84 === === -438.54 -442.62 === -452.19 === -460.15 === === === -482.23 === === -497.31 -498.30 -506.92 -511.80 -516.06 -519.39 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -300.90 === === === -317.85 === === === === === === === -356.14 === === === -373.82 === === === -394.45 -399.49 -405.57 -408.39 -416.19 -417.47 -425.86 -428.50 -432.11 -437.66 -443.40 -447.28 -452.88 === === -468.20 === === === === === -497.34 -499.20 -506.41 -511.51 -515.74 -517.57 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -301.20 -303.48 === -315.04 === === === === === === === === === === === === === -382.73 === === === === === -408.25 -412.50 === === -429.29 -435.38 -440.39 -442.09 -446.17 -454.39 -460.01 -464.75 === === === === === === === === === === === -519.26 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -302.68 -303.44 === -312.89 === === === === === === === === === === === === === === -385.42 === -397.47 === === -410.26 === -418.64 -422.93 === -433.05 -438.69 -442.14 -449.11 -453.77 -458.17 === === === === === === === -494.35 === -506.06 -511.37 === -522.11 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -302.16 === === === === === === === === === === === === -363.10 === === === === === === === -399.87 === === -414.89 === -422.74 -432.03 -436.77 -438.10 -443.36 === -453.11 -460.76 === === -473.55 === === === === === === -507.18 -512.74 -517.44 -520.98 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -235.81 === === === === === === === === === === === === -297.39 -302.83 === === -317.71 === === === === === === === -352.86 === === === === === === === === -398.09 === === -411.73 === === -424.94 === === === -446.15 -447.48 -456.13 === -463.65 === === === === === -493.82 -499.11 -501.91 === === -516.74 -523.00 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -293.64 === === === === === === === === === === === === === === -365.62 === -374.89 === -385.59 === -394.98 === === === === === === === === === -440.38 === -450.14 -456.83 === -462.44 === === === === === -492.46 -496.11 === === -513.72 -514.64 -523.41 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -119.57 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -420.03 === === === === -441.57 === === -456.49 -458.34 === -469.03 -475.22 === -484.25 === -494.89 -497.87 === === -512.79 -519.48 -520.43 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -120.51 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -356.75 === === === === === === === === === === === === === === === === === -441.42 === === -455.95 -462.89 -464.28 -469.64 -477.47 -479.41 === === === === -501.61 -507.76 === -518.90 -524.84 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -123.09 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -375.22 === === === === === === -410.86 -416.49 === === === === === -445.00 === === === === -466.11 -469.34 -474.56 -478.81 -486.89 -489.68 === -502.20 -503.87 -508.39 === -520.27 -523.18 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -318.59 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -459.78 === === -472.61 -475.83 -481.22 -484.53 -488.66 -495.80 -500.74 === === -512.75 -521.33 -522.17 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -470.64 === -481.37 -484.94 -491.22 -497.94 -498.98 -506.89 -509.87 === -521.10 -525.62 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -465.85 === -473.27 -479.98 -482.37 -485.99 -493.09 -496.10 -504.50 -505.30 === === === -526.50 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -458.91 === -470.26 === === -485.16 -488.96 -491.56 -496.75 -503.39 -506.16 -512.23 -516.96 -523.78 -527.98 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -141.36 -145.81 === === -158.31 -160.51 -167.50 === -174.96 === === === === -194.72 === === === === === === === === === === === === === -255.89 -259.04 === -267.24 -271.29 === === === === === === === === === === -323.04 -326.51 -328.57 -335.72 === -344.05 -347.67 === -356.63 -364.72 === -370.47 === === === === -393.64 -402.47 -403.16 -410.63 -412.83 === === === === === === === === -457.64 === -467.43 === === === -486.33 -489.01 -496.55 -500.63 -504.54 -505.95 === -519.41 === -527.99 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -410.48 -417.22 -418.00 -423.99 === === === === === === === -464.54 === === === === -485.76 -490.74 -496.03 -501.28 -503.21 -511.46 -514.07 === -524.23 -528.72 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -418.96 -422.26 === === === === === === === -460.95 -463.79 === === -476.06 -483.32 -485.82 === -497.77 -500.45 === -508.96 -515.32 -518.97 -522.45 -530.26 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.35 === === === === === === === === === === -472.28 === -484.77 -489.34 -494.04 -494.91 -499.81 -504.21 -513.44 -518.07 -518.96 -527.21 -528.00 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.71 === === === === === -453.36 === === -465.30 -469.02 === === === === -494.00 -496.28 -503.90 -505.80 -512.82 -514.33 -522.84 -525.48 -529.63 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -423.06 -426.94 === -433.61 === === === === === === -465.02 -470.93 === -480.35 -485.21 === -493.81 -498.19 -502.26 -509.31 -513.06 -517.97 -522.48 -526.43 -532.52 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.34 -424.94 -432.60 === === === === === === -464.04 === -472.80 -476.40 === === -492.67 -495.74 -499.44 -506.40 -511.08 -515.34 -516.71 -525.49 -529.29 -533.02 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -302.86 -309.47 -311.76 -317.86 -319.04 -325.36 -331.35 -332.00 -337.72 -341.97 -346.95 === -357.48 -361.05 === -369.79 === === === -388.56 -390.86 -398.64 -403.10 -405.02 -410.22 -413.63 -419.07 -421.24 -426.54 === === === === === === === -467.03 === -475.98 === === -488.97 -491.93 -496.90 -503.15 === -512.17 -514.05 -520.11 -524.37 -527.94 -536.13 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -307.29 -308.22 -314.70 -315.46 -320.48 -327.78 -331.40 -336.18 -338.82 -343.52 -348.84 -353.53 -357.41 === === -371.56 === === === -388.76 === === -402.26 === -412.40 -415.18 -420.86 === === === === === -447.53 === === === === -469.13 === === === === -494.97 -496.94 -501.64 -508.04 -512.79 -514.83 -522.35 -528.49 -531.39 -533.99 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -308.12 -309.35 === === === === === === === === === === === === === === === === === === -396.93 === === -408.71 === === === === === === === === === === === === === -471.04 === === === === -493.94 -500.58 -506.23 -507.28 -513.37 -520.42 -520.68 -528.73 -529.79 -538.29 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -315.12 === === === === === === === === === === === === === === === === === === === === === -411.23 === === -421.83 === === === === === === === === -465.21 === === === === -489.47 -490.34 -498.30 -502.07 -503.83 -511.69 -515.49 -518.45 -526.12 -530.23 -531.35 -537.63 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -317.01 -319.13 === === === === -341.81 === === === === === === === === === === === === === -401.91 === === === === === -430.01 === === === === === -457.51 === === === === === === -489.44 -493.29 -498.64 -502.25 -506.10 -513.15 -519.06 -522.09 -524.22 -529.69 -535.05 -537.46 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -319.98 -325.81 === === === === === === === === === === === === === === === === -399.09 === -408.63 === === === === === === === === === === === === === === === === -486.89 === -494.42 -499.19 -504.78 -510.00 -511.93 -517.91 -523.02 -525.73 -533.48 -536.41 -538.61 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -328.72 -332.00 === === === === === === === === === === === === === === === -400.83 === === === -418.55 === === === === === === === === === === === -472.47 === === -488.67 -490.68 -494.99 -502.02 -507.26 -508.80 -516.67 -517.76 -524.51 -527.99 -533.59 -534.82 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -333.77 -334.12 -338.15 === === === === === === === === === === === === === -400.26 === === === === === -425.12 === === === === === === === === === === -475.90 -478.57 === -489.17 -492.01 -496.84 -501.27 -506.27 -513.67 -513.73 -521.54 -525.92 -527.20 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -334.37 -335.41 -342.19 === === === === === === === === === === === -393.58 === === === -409.92 === === === === === === === === === === === === === === === === === -489.85 -495.07 -500.09 -503.76 -507.27 -511.96 -516.52 -519.37 -523.92 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -341.00 === -350.26 -352.35 === === === -367.17 === === === === === === === === === === === === === === -433.91 === === === === === === === === -473.44 === === -490.08 === -496.81 -501.79 -505.57 === -515.40 -516.73 -522.04 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -346.42 -350.10 -353.59 -360.63 === === === === === === === === === === === === === === === === === === === === === === === === === === === -481.41 -486.30 -489.78 -496.63 -499.70 -500.85 -507.72 -510.88 -515.73 -518.44 === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -353.43 === -361.48 === -371.01 === -379.09 === === === === === === === === === === === === === === === === === === === === === === === === === -490.56 -496.04 -499.11 -503.18 -507.69 -514.97 -515.86 === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -356.16 -359.65 === === === === === === -386.89 === === === === === -415.87 === === === === === === -445.82 === === === === === === === === -485.26 === -494.85 -497.69 -500.45 -507.02 -510.33 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -361.70 -365.24 === -373.52 === === === -393.97 === === === -409.09 === === -421.17 === === === -435.75 -439.86 -445.57 === -456.69 === === === === === === -483.59 -492.01 -492.89 === -504.86 -506.77 === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -365.04 === === === === === === === === === === -410.33 === -417.47 -424.40 === === -435.72 === === === -453.10 === === === === === -477.94 === -489.82 -491.84 -496.25 -501.64 -503.45 === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -372.01 === === === === -392.07 === === -407.36 === === === === === === === === === -446.04 === -453.76 -459.60 === === === === -480.22 -487.59 -488.74 === -499.61 -500.90 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -376.34 -380.44 === === === === === === === === -412.86 === === === === -434.79 -440.23 === -449.72 -452.34 === === === -468.69 -475.68 === === -488.03 -490.64 -496.71 -497.84 === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -382.01 -382.58 === -393.71 === -399.94 === === === === -422.63 -424.78 === -436.10 === === === === === -458.18 -465.25 === -472.59 -478.44 === -486.79 === -492.22 === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -388.18 -391.20 === === === === === === === === === === -438.37 === === -448.57 === -458.54 -462.87 -467.13 -472.28 -472.74 -479.49 === -488.85 -491.43 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -388.61 -393.44 === === === === === === === === === === === === === === === === === === === -474.61 === -485.54 -488.82 === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -393.74 -398.94 === === === === === === === === === === === === === === -457.92 -463.33 === === -475.37 -479.45 -484.05 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -398.71 -402.08 === === === === === === === === === === === === -456.26 -458.94 === === -471.32 -476.79 -482.36 -484.54 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -403.29 -404.24 -407.93 === === === === === === === === === === === === === === -472.89 -477.32 -478.02 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -409.01 -415.43 === === === === === === === === -448.46 === === === === -469.42 -471.72 -476.56 -480.14 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.56 -419.37 === -429.36 === === === === === === === === === === -473.08 -474.74 === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -420.78 -420.59 === === === === === === === === === === === === -473.19 -475.40 === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -427.30 -427.78 === === === === === === === === === -470.07 -475.12 -473.70 === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -432.94 -436.08 === === === === === === === === === -475.27 === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -436.82 -441.71 === === === === === === === -469.17 === === -481.03 === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -438.12 -440.33 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -445.10 -446.88 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -450.40 -452.95 -453.05 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
