=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === 10.00 === 10.00 === === 10.00 188.00 10.00 10.00 204.00 === === 16.00 10.00 10.00 10.00 10.00 9.00 924.00 10.00 10.00 10.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
=== === === === === === === === === === === 10.00 === === === === === === === === === === === 10.00 0.00 === === === 0.00 0.00 === === 60.00 0.00 0.00 0.00 665.00 665.00 === 10.00 
=== === === === === === === === === === 10.00 10.00 === === === === === === === === === === === 10.00 10.00 0.00 134.00 === 252.00 0.00 === 0.00 === 0.00 === === 0.00 0.00 10.00 10.00 
=== === === === === === === === === === 10.00 === === === === === === 0.00 === === === === 191.00 === 10.00 === 0.00 0.00 0.00 0.00 0.00 0.00 === 582.00 === === === 10.00 10.00 === 
=== === === === === === === === === === === === === === === === === 10.00 12.00 10.00 === === === === === 8.00 === 0.00 0.00 0.00 0.00 0.00 0.00 === === 0.00 115.00 10.00 === 10.00 
=== === === === === === === === === === === === === === === === === 9.00 === 10.00 === 0.00 === === === 10.00 10.00 0.00 === 0.00 0.00 0.00 === === 10.00 10.00 122.00 === 10.00 9.00 
=== === === === === === === === === === === === === === === === === === === === 10.00 === === === === === 10.00 === 0.00 === 0.00 0.00 === 767.00 10.00 === === === === === 
=== === === === === === === === === === === === === === === === === === === === 10.00 === === === === === 10.00 10.00 354.00 901.00 0.00 0.00 10.00 10.00 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === 9.00 10.00 === 0.00 0.00 10.00 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === 76.00 === === === === 10.00 10.00 === 0.00 0.00 12.00 === === === === === === 10.00 
=== === === === === === === === === === === === === === === === === === === === === === 0.00 === === === === === 10.00 10.00 === === 10.00 === 0.00 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 10.00 === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === 10.00 10.00 0.00 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === 10.00 10.00 === === === === === === === === 370.00 
=== === 10.00 === === 26.00 === === === === === === === === === === === === === === === === === === 10.00 === === === === === 10.00 === === === === === === === === 10.00 
=== === === === === 9.00 9.00 === === === === === === === === === === === 0.00 === === === === === === === === === === === === 10.00 === === === === === === === === 
=== === === === === === === === === === === === 0.00 === === === === === === === === === === === === 10.00 === === === === === 10.00 506.00 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === 10.00 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === 10.00 0.00 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 10.00 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === 491.00 0.00 === === === === === === === === 0.00 === === === 0.00 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === === 0.00 === === === 10.00 
=== === === === === === === === === === === === === === === === === === === === === === 631.00 === === === === === 10.00 10.00 === === === === === === === === === 10.00 
=== === 10.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 
=== === 10.00 === === === === === === === === === === === === === === === === === === === === === === === === 166.00 === === === === === === === === === === === 10.00 
=== === 10.00 === 330.00 10.00 === 10.00 === === === === 10.00 === === === === === === === === === === === === === 10.00 10.00 10.00 === === 10.00 10.00 10.00 10.00 === 10.00 283.00 85.00 10.00 
